project,project_label,param_id,TreeCluster_threshold,SampleID,n_haplotypes,n_TreeCluster_branches,TreeCluster_combo,branches,total_frequency,is_cross_branch_sample,year_month,geo_stratum,stratum,virus_clade,collection_date,geographic_location
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26779989,2,2,C6+C7,C6+C7,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/26,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26779994,2,2,C4+C6,C4+C6,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/2,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780031,2,2,C4+C6,C4+C6,0.9999999999999999,True,2022-08,Sydney,2022-08|Sydney,A.D.3.1,2022/8/5,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780033,2,1,C6,C6,0.9999999999999998,False,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/19,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780034,2,2,C4+C6,C4+C6,1.0,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/27,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780041,3,3,C1+C4+C6,C1+C4+C6,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/3,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780042,2,2,C5+C6,C5+C6,0.9999999999999999,True,2022-06,Sydney,2022-06|Sydney,A.D.3.1,2022/6/14,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780044,2,1,C2,C2,1.0,False,2022-06,Sydney,2022-06|Sydney,A.D.3.3,2022/6/13,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780046,2,1,C3,C3,1.0,False,2022-06,Sydney,2022-06|Sydney,A.D.3,2022/6/5,Australia: Sydney
PRJNA1037681,Australia,TF003_T10_main,0.01,SRR26780048,2,2,C4+C6,C4+C6,1.0,True,2022-07,Sydney,2022-07|Sydney,A.D.3.1,2022/7/8,Australia: Sydney
